,id_count,UTM_E,UTM_N,Depth_m,geometry
8554,310484,406143.6,7613377.72,0.49570000000000003,POINT (406143.6 7613377.72)
8555,310485,406145.22,7613377.66,0.4036,POINT (406145.22 7613377.66)
8556,310486,406148.07,7613377.55,0.6053999999999999,POINT (406148.07 7613377.55)
8557,310487,406150.06,7613376.36,0.5770000000000001,POINT (406150.06 7613376.36)
8558,310488,406151.32,7613377.43,0.6284000000000001,POINT (406151.32 7613377.43)
8559,310489,406152.54,7613377.38,0.6183,POINT (406152.54 7613377.38)
8560,310490,406154.17,7613377.32,0.5851,POINT (406154.17 7613377.32)
8561,310491,406156.57,7613376.12,0.642,POINT (406156.57 7613376.12)
8562,310492,406158.64,7613377.16,0.5797,POINT (406158.64 7613377.16)
8563,310493,406161.49,7613377.05,0.4401,POINT (406161.49 7613377.05)
8564,310494,406163.52,7613376.97,0.46590000000000004,POINT (406163.52 7613376.97)
8565,310495,406165.15,7613376.91,0.5783,POINT (406165.15 7613376.91)
8566,310496,406166.0,7613378.0,0.5119,POINT (406166 7613378)
8567,310497,406166.77,7613376.85,0.49570000000000003,POINT (406166.77 7613376.85)
8568,310498,406169.21,7613376.76,0.688,POINT (406169.21 7613376.76)
8569,310499,406171.65,7613376.67,0.5146000000000001,POINT (406171.65 7613376.67)
8570,310500,406173.28,7613376.61,0.7842,POINT (406173.28 7613376.61)
8571,310501,406175.31,7613376.53,0.6731,POINT (406175.31 7613376.53)
8572,310502,406178.57,7613376.41,0.6528,POINT (406178.57 7613376.41)
8573,310503,406180.19,7613376.35,0.6853,POINT (406180.19 7613376.35)
8574,310504,406181.41,7613376.3,0.6568999999999999,POINT (406181.41 7613376.3)
8575,310505,406183.45,7613376.23,0.41979999999999995,POINT (406183.45 7613376.23)
8576,310506,406184.71,7613377.29,0.5052,POINT (406184.71 7613377.29)
8577,310507,406187.51,7613376.07,0.47600000000000003,POINT (406187.51 7613376.07)
8578,310508,406188.33,7613376.04,0.2742,POINT (406188.33 7613376.04)
8579,310509,406190.0,7613377.1,0.41979999999999995,POINT (406190 7613377.1)
8580,310510,406192.44,7613377.0,0.4347,POINT (406192.44 7613377)
8581,310511,406193.25,7613376.97,0.2952,POINT (406193.25 7613376.97)
8582,310512,406194.88,7613376.91,0.3568,POINT (406194.88 7613376.91)
8583,310513,406196.46,7613375.74,0.4171,POINT (406196.46 7613375.74)
8584,310514,406198.54,7613376.78,0.3345,POINT (406198.54 7613376.78)
8585,310515,406200.16,7613376.71,0.4313,POINT (406200.16 7613376.71)
8586,310516,406201.79,7613376.65,0.39270000000000005,POINT (406201.79 7613376.65)
