,Counter_,Latitude,Longitude,Depth_m,geometry
3923,5200970,68.621813,-149.318896,0.3787,POINT (-149.318896 68.621813)
3924,5200971,68.62182800000001,-149.318908,0.39549999999999996,POINT (-149.318908 68.62182800000001)
3925,5200972,68.621836,-149.31891299999998,0.3134,POINT (-149.318913 68.621836)
3926,5200973,68.621851,-149.318911,0.33240000000000003,POINT (-149.318911 68.62185100000001)
3927,5200974,68.62185500000001,-149.318906,0.3547,POINT (-149.318906 68.62185500000001)
3928,5200975,68.621861,-149.318916,0.48369999999999996,POINT (-149.318916 68.621861)
3929,5200976,68.621881,-149.31892,0.5021,POINT (-149.31892 68.621881)
3930,5200977,68.621893,-149.31891299999998,0.2883,POINT (-149.318913 68.621893)
3931,5200978,68.62190600000001,-149.31888600000002,0.4022,POINT (-149.318886 68.62190600000001)
3932,5200979,68.621915,-149.318881,0.45409999999999995,POINT (-149.318881 68.621915)
3933,5200980,68.62191999999999,-149.31888,0.33630000000000004,POINT (-149.31888 68.62191999999999)
3934,5200981,68.621933,-149.318881,0.38770000000000004,POINT (-149.318881 68.621933)
3935,5200982,68.621945,-149.31888,0.4558,POINT (-149.31888 68.621945)
3936,5200983,68.621953,-149.31887,0.4982,POINT (-149.31887 68.621953)
3937,5200984,68.62195600000001,-149.318871,0.4139,POINT (-149.318871 68.62195600000001)
3938,5200985,68.621966,-149.318873,0.429,POINT (-149.318873 68.621966)
3939,5200986,68.62198000000001,-149.318876,0.4033,POINT (-149.318876 68.62198000000001)
3940,5200987,68.62199100000001,-149.318878,0.36200000000000004,POINT (-149.318878 68.62199100000001)
