,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
282,-149.317,68.6104,94.4,405702.94,7612694.2,0.9440000000000001,POINT (405702.94 7612694.2)
283,-149.317,68.6104,80.7,405702.59,7612694.1,0.807,POINT (405702.59 7612694.1)
284,-149.317,68.6104,89.1,405704.4,7612693.4,0.8909999999999999,POINT (405704.4 7612693.4)
285,-149.317,68.6104,91.2,405705.01,7612693.4,0.912,POINT (405705.01 7612693.4)
286,-149.317,68.6104,89.4,405705.27,7612693.0,0.894,POINT (405705.27 7612693)
287,-149.317,68.6104,86.4,405705.99,7612693.9,0.8640000000000001,POINT (405705.99 7612693.9)
288,-149.317,68.6104,92.2,405707.04,7612693.2,0.922,POINT (405707.04 7612693.2)
289,-149.317,68.6104,85.9,405708.18,7612692.7,0.8590000000000001,POINT (405708.18 7612692.7)
290,-149.317,68.6104,83.6,405710.09,7612693.0,0.836,POINT (405710.09 7612693)
291,-149.317,68.6104,85.5,405711.18,7612693.2,0.855,POINT (405711.18 7612693.2)
292,-149.317,68.6104,86.0,405711.14,7612693.9,0.86,POINT (405711.14 7612693.9)
293,-149.317,68.6104,81.6,405711.69,7612693.9,0.816,POINT (405711.69 7612693.9)
294,-149.317,68.6104,81.9,405712.28,7612693.3,0.8190000000000001,POINT (405712.28 7612693.3)
295,-149.317,68.6104,73.42,405713.51,7612693.7,0.7342,POINT (405713.51 7612693.7)
296,-149.317,68.6104,72.92,405714.13,7612693.8,0.7292000000000001,POINT (405714.13 7612693.8)
297,-149.317,68.6104,73.7,405714.99,7612693.4,0.737,POINT (405714.99 7612693.4)
298,-149.317,68.6104,68.42,405716.14,7612693.2,0.6842,POINT (405716.14 7612693.2)
299,-149.317,68.6104,71.31,405716.77,7612693.5,0.7131000000000001,POINT (405716.77 7612693.5)
300,-149.317,68.6104,64.98,405717.5,7612693.1,0.6498,POINT (405717.5 7612693.1)
301,-149.317,68.6104,67.75,405719.0,7612693.3,0.6775,POINT (405719 7612693.3)
302,-149.317,68.6104,65.98,405719.74,7612693.2,0.6598,POINT (405719.74 7612693.2)
303,-149.317,68.6104,63.92,405720.62,7612693.0,0.6392,POINT (405720.62 7612693)
304,-149.317,68.6104,51.26,405721.5,7612693.2,0.5126,POINT (405721.5 7612693.2)
305,-149.317,68.6104,56.87,405722.64,7612692.8,0.5687,POINT (405722.64 7612692.8)
306,-149.317,68.6104,60.26,405722.38,7612693.0,0.6026,POINT (405722.38 7612693)
307,-149.317,68.6104,56.42,405723.75,7612693.5,0.5642,POINT (405723.75 7612693.5)
308,-149.317,68.6104,59.98,405724.7,7612693.2,0.5998,POINT (405724.7 7612693.2)
309,-149.317,68.6104,67.03,405724.95,7612692.7,0.6703,POINT (405724.95 7612692.7)
310,-149.317,68.6104,64.87,405726.38,7612693.0,0.6487,POINT (405726.38 7612693)
311,-149.317,68.6104,61.59,405727.62,7612693.5,0.6159,POINT (405727.62 7612693.5)
312,-149.317,68.6104,58.31,405728.03,7612693.5,0.5831000000000001,POINT (405728.03 7612693.5)
313,-149.317,68.6104,70.2,405728.97,7612693.1,0.7020000000000001,POINT (405728.97 7612693.1)
314,-149.317,68.6104,66.31,405730.29,7612694.0,0.6631,POINT (405730.29 7612694)
315,-149.317,68.6104,57.31,405730.89,7612693.7,0.5731,POINT (405730.89 7612693.7)
316,-149.317,68.6104,65.87,405731.67,7612694.5,0.6587000000000001,POINT (405731.67 7612694.5)
317,-149.317,68.6104,77.31,405733.07,7612693.9,0.7731,POINT (405733.07 7612693.9)
318,-149.317,68.6104,76.75,405733.25,7612693.1,0.7675,POINT (405733.25 7612693.1)
319,-149.317,68.6104,72.2,405734.28,7612693.4,0.722,POINT (405734.28 7612693.4)
320,-149.316,68.6104,85.2,405734.96,7612693.6,0.852,POINT (405734.96 7612693.6)
321,-149.316,68.6104,89.4,405735.28,7612693.0,0.894,POINT (405735.28 7612693)
322,-149.316,68.6104,91.5,405736.78,7612693.3,0.915,POINT (405736.78 7612693.3)
323,-149.316,68.6104,90.1,405737.81,7612693.7,0.9009999999999999,POINT (405737.81 7612693.7)
324,-149.316,68.6104,91.3,405738.28,7612693.3,0.9129999999999999,POINT (405738.28 7612693.3)
325,-149.316,68.6104,93.6,405739.22,7612693.2,0.9359999999999999,POINT (405739.22 7612693.2)
326,-149.316,68.6104,93.4,405740.44,7612693.2,0.934,POINT (405740.44 7612693.2)
327,-149.316,68.6104,89.7,405740.79,7612693.2,0.897,POINT (405740.79 7612693.2)
328,-149.316,68.6104,89.9,405741.92,7612692.8,0.899,POINT (405741.92 7612692.8)
329,-149.316,68.6104,73.42,405743.02,7612692.9,0.7342,POINT (405743.02 7612692.9)
330,-149.316,68.6104,85.3,405742.67,7612692.7,0.853,POINT (405742.67 7612692.7)
331,-149.316,68.6104,77.42,405744.03,7612692.7,0.7742,POINT (405744.03 7612692.7)
332,-149.316,68.6104,90.7,405744.65,7612693.0,0.907,POINT (405744.65 7612693)
333,-149.316,68.6104,92.4,405744.71,7612692.9,0.924,POINT (405744.71 7612692.9)
334,-149.316,68.6104,96.4,405747.08,7612692.6,0.9640000000000001,POINT (405747.08 7612692.6)
335,-149.316,68.6104,101.4,405747.96,7612692.5,1.014,POINT (405747.96 7612692.5)
336,-149.316,68.6104,104.2,405748.83,7612692.3,1.042,POINT (405748.83 7612692.3)
337,-149.316,68.6104,106.5,405750.11,7612692.1,1.065,POINT (405750.11 7612692.1)
